epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,458.55,1.45458,3.10031,1.58817,1.57572,0.56244,0.53209,0.5524,0.28109,0.06948,0.01872,0.00406,0.00069,1.54423,2.64912,1.79382,1.78236,0.000445756,0.000445756,0.000445756
76,465.559,1.27896,3.00817,1.52756,1.48299,0.59155,0.52941,0.54034,0.26929,0.11294,0.01872,0.00606,0.00098,1.55404,2.63206,1.80752,1.779,0.000429253,0.000429253,0.000429253
77,471.688,1.38975,3.18505,1.61996,1.56023,0.59155,0.52941,0.54034,0.26929,0.11294,0.01872,0.00606,0.00098,1.55404,2.63206,1.80752,1.779,0.000412749,0.000412749,0.000412749
78,477.321,1.31812,3.17225,1.51932,1.52062,0.53551,0.55615,0.50635,0.25715,0.09284,0.01604,0.00554,0.00119,1.55259,2.61286,1.80516,1.76255,0.000396246,0.000396246,0.000396246
79,482.713,1.37105,3.2942,1.64734,1.51753,0.54553,0.56488,0.50069,0.25946,0.10083,0.01872,0.00811,0.00147,1.54913,2.64446,1.82072,1.75114,0.000379743,0.000379743,0.000379743
80,488.048,1.35374,3.00665,1.52022,1.54404,0.54553,0.56488,0.50069,0.25946,0.10083,0.01872,0.00811,0.00147,1.54913,2.64446,1.82072,1.75114,0.000363239,0.000363239,0.000363239
81,493.333,1.34446,3.07112,1.5563,1.50547,0.55517,0.57732,0.52059,0.27342,0.07605,0.02139,0.01198,0.0019,1.55532,2.64218,1.7828,1.75672,0.000346736,0.000346736,0.000346736
82,498.562,1.31118,2.85491,1.49466,1.47091,0.55517,0.57732,0.52059,0.27342,0.07605,0.02139,0.01198,0.0019,1.55532,2.64218,1.7828,1.75672,0.000330233,0.000330233,0.000330233
83,504.16,1.36785,3.28276,1.57628,1.5411,0.60571,0.57754,0.55335,0.29463,0.11215,0.02674,0.0153,0.00276,1.54474,2.60768,1.73585,1.7532,0.000313729,0.000313729,0.000313729
84,510.859,1.38243,3.46236,1.58505,1.56846,0.65657,0.58021,0.58914,0.31283,0.10215,0.02941,0.01286,0.0027,1.54616,2.57003,1.69775,1.75474,0.000297226,0.000297226,0.000297226
